Project;Pull Number;Contain a Challenge or Barrier? First;Contain a Challenge or Barrier? Second;Is CPS Specific? Fisrt;Is CPS Specific? Second;Bad Practice First;Bad Practice Second;Challenge/Barrier First;Challenge/Barrier Second;Mitigation Fisrt;Mitigation Second;Restructuring First;Restructuring Second
rusefi/rusefi;3476;NO;NO;;;;;;;;;;
rusefi/rusefi;3582;YES;YES;NO;NO;Quality Assurance_Quality checks/gates_Lacking relevant quality gates (e.g., memory issues);Quality Assurance_Quality checks/gates_Lacking relevant quality gates (e.g., memory issues);;;;;;
rusefi/rusefi;3598;YES;NO;YES;;;;HIL_Poor memory management;;;;;
rusefi/rusefi;3600;NO;NO;;;;;;;;;;
rusefi/rusefi;3610;NO;NO;;;;;;;;;;
rusefi/rusefi;3641;NO;NO;;;;;;;;;;
rusefi/rusefi;3651;YES;YES;YES;YES;;;Simulators_Interacting environment;Simulators_Interacting environment;Resources_Change simulator settings;Resources_Change simulator settings;;
rusefi/rusefi;3706;YES;NO;NO;;Build Outcome_Do not fail a build as soon as a failure/error is encountered;;;;;;Build Process Organization_Reorganize build steps order of execution;
rusefi/rusefi;3729;NO;NO;;;;;;;;;;
rusefi/rusefi;3731;NO;NO;;;;;;;;;;
rusefi/rusefi;406;NO;NO;;;;;;;;;;
rusefi/rusefi;520;NO;NO;;;;;;;;;;
rusefi/rusefi;687;YES;YES;NO;NO;Build Process Definition_ Rely on a wrong environment;Build Process Definition_ Rely on a wrong environment;;;;;Performance_Cleanup build matrix;Performance_Cleanup build matrix
rusefi/rusefi;929;YES;NO;YES;;;;HIL_Many devices each one with device specific parameters;;;;;
rusefi/rusefi;1020;NO;NO;;;;;;;;;;
rusefi/rusefi;1132;YES;YES;NO;NO;Build Outcome_Warnings do not fail the build;Build Outcome_Warnings do not fail the build;;;;;Build Policy_Change how the build outcome is determined;Build Policy_Change how the build outcome is determined
rusefi/rusefi;1128;YES;YES;NO;NO;Build Dependencies Management;Build Dependencies Management;;;;;Build Policy_Change the dependencies' installation policy;Build Policy_Change the dependencies' installation policy
rusefi/rusefi;1184;NO;NO;;;;;;;;;;
rusefi/rusefi;1520;NO;NO;;;;;;;;;;
rusefi/rusefi;1544;NO;NO;;;;;;;;;;
rusefi/rusefi;1562;NO;NO;;;;;;;;;;
rusefi/rusefi;1618;YES;NO;NO;;Delivery Process_Inappropriate strategy to create the build artifacts;;;;;;Build Process Organization_Reorganize build steps order of execution;
rusefi/rusefi;1691;NO;NO;;;;;;;;;;
rusefi/rusefi;1582;NO;NO;;;;;;;;;;
rusefi/rusefi;877;NO;NO;;;;;;;;;;
rusefi/rusefi;1829;NO;NO;;;;;;;;;;
rusefi/rusefi;1910;NO;NO;;;;;;;;;;
rusefi/rusefi;1951;NO;NO;;;;;;;;;;
rusefi/rusefi;2012;YES;YES;NO;NO;Build Maintainability_Customization over a specific environment (e.g., rework for making the system running on a different OS);Build Maintainability_Customization over a specific environment (e.g., rework for making the system running on a different OS);;;;;;
rusefi/rusefi;2185;YES;NO;YES;;;;HIL_Interface with HIL;;;;;
rusefi/rusefi;2266;YES;NO;NO;;Build Maintainability_Missing/Poor strict naming convention for build jobs;;;;;;Maintainability_Rename steps/tasks/scripts/jobs;
rusefi/rusefi;2239;NO;NO;;;;;;;;;;
rusefi/rusefi;701;NO;NO;;;;;;;;;;
rusefi/rusefi;1135;NO;YES;;NO;;Build Dependencies Management;;;;;;
rusefi/rusefi;971;NO;NO;;;;;;;;;;
rusefi/rusefi;2014;NO;NO;;;;;;;;;;
rusefi/rusefi;2908;NO;NO;;;;;;;;;;
rusefi/rusefi;2922;NO;NO;;;;;;;;;;
