ID;Project;Pull Number;Pull Request Link;Pull Request Title;Is Merged?;Has a Challenge/BadPractice?;Is CPS-Specific?;Bad Practice;Challenge/Barrier;Mitigation;Restructuring
164;paparazzi/paparazzi;1371;https://github.com/paparazzi/paparazzi/pull/1371;spi fixed spi initialization stm32f1;FALSE;NO;;;;;
165;paparazzi/paparazzi;275;https://github.com/paparazzi/paparazzi/pull/275;Fixed lisa m 2 0 battery voltage calculation;FALSE;YES;YES;;Simulators_Functional Correctness;Resources_Change simulator settings;
166;paparazzi/paparazzi;1116;https://github.com/paparazzi/paparazzi/pull/1116;Setup Actuators Fix telemetry and add more boards;FALSE;NO;;;;;
167;paparazzi/paparazzi;1242;https://github.com/paparazzi/paparazzi/pull/1242;Fixed unsanctioned yaw unkill problem with uninitialised joysticks;FALSE;NO;;;;;
168;paparazzi/paparazzi;1165;https://github.com/paparazzi/paparazzi/pull/1165;conf update udev rules;FALSE;NO;;;;;
169;paparazzi/paparazzi;1191;https://github.com/paparazzi/paparazzi/pull/1191;amsys airspeed sensor;FALSE;NO;;;;;
170;paparazzi/paparazzi;708;https://github.com/paparazzi/paparazzi/pull/708;airspeed Added MS45XX driver for airspeed;FALSE;YES;YES;;Simulators_Limited Functionality;Resources_Evolve simulator;
171;paparazzi/paparazzi;1035;https://github.com/paparazzi/paparazzi/pull/1035;autopilot unkill in manual was not possible when;FALSE;NO;;;;;
172;paparazzi/paparazzi;328;https://github.com/paparazzi/paparazzi/pull/328;Baro MS5611 reading frequency;FALSE;YES;YES;;Simulators_Installation and Setting;Resources_Change simulator settings;
173;paparazzi/paparazzi;766;https://github.com/paparazzi/paparazzi/pull/766;Failsafe ARDrone;FALSE;NO;;;;;
174;paparazzi/paparazzi;573;https://github.com/paparazzi/paparazzi/pull/573;add Vagrantfile for VM setup using VirtualBox;FALSE;NO;;;;;
175;paparazzi/paparazzi;659;https://github.com/paparazzi/paparazzi/pull/659;I2c watchdog;FALSE;NO;;;;;
176;paparazzi/paparazzi;118;https://github.com/paparazzi/paparazzi/pull/118;Telemetry settings;FALSE;NO;;;;;
177;paparazzi/paparazzi;292;https://github.com/paparazzi/paparazzi/pull/292;ezosd current sensor integration;FALSE;NO;;;;;
178;paparazzi/paparazzi;525;https://github.com/paparazzi/paparazzi/pull/525;Baro event handling using ABI interface;FALSE;NO;;;;;
179;paparazzi/paparazzi;346;https://github.com/paparazzi/paparazzi/pull/346;Mag current calibration;FALSE;NO;;;;;
180;cyberbotics/webots;3619;https://github.com/cyberbotics/webots/pull/3619;FLU Implement backward compatibility mechanism;TRUE;NO;;;;;
181;cyberbotics/webots;3699;https://github.com/cyberbotics/webots/pull/3699;Attempt to fix Window CI build;TRUE;YES;NO;Build Dependencies Management_Dependency management is not used (e.g., the same project is rebuilt more than once);;;Build Policy_Change the dependencies' installation policy
182;cyberbotics/webots;3636;https://github.com/cyberbotics/webots/pull/3636;Clean up Windows CI build;TRUE;NO;;;;;
183;cyberbotics/webots;3551;https://github.com/cyberbotics/webots/pull/3551;Complete integrity tests for downloaded resources;TRUE;YES;NO;Build Dependencies Management_Including unneeded dependencies;;;Performance_Remove Unneeded environments/scripts/tasks
184;cyberbotics/webots;3478;https://github.com/cyberbotics/webots/pull/3478;Don t publish the libcontroller if it hasn t changed since yesterday;TRUE;YES;NO;Builld Initialization_Inappropriate build environment clean-up strategy (i.e., whether to (not) use incremental builds);;;Build Process Organization_Update checks in the build process
185;cyberbotics/webots;3449;https://github.com/cyberbotics/webots/pull/3449;Fix robot window linking with an external Python controller;TRUE;NO;;;;;
186;cyberbotics/webots;3388;https://github.com/cyberbotics/webots/pull/3388;Disable building of packages on develop;TRUE;YES;NO;Build Execution_Tasks are not properly distributed among different build stages (e.g., load testing is done in the commit stage);;;Build Process Organization_Update checks in the build process
187;cyberbotics/webots;3359;https://github.com/cyberbotics/webots/pull/3359;Fix nightly urls;TRUE;YES;NO;Delivery Process_Missing check for deliverables (e.g., check whether all files are in the delivery);;;Build Process Organization_Update checks in the build process
188;cyberbotics/webots;2787;https://github.com/cyberbotics/webots/pull/2787;Drastically reduce package size;TRUE;NO;;;;;
189;cyberbotics/webots;3173;https://github.com/cyberbotics/webots/pull/3173;Fix test ros CI for ubuntu 18;TRUE;YES;NO;Build Dependencies Management_Including unneeded dependencies;;;Performance_Remove Unneeded environments/scripts/tasks
190;cyberbotics/webots;2999;https://github.com/cyberbotics/webots/pull/2999;Add Fabtino robot;TRUE;NO;;;;;
191;cyberbotics/webots;3137;https://github.com/cyberbotics/webots/pull/3137;fix matlab makefile;TRUE;NO;;;;;
192;cyberbotics/webots;3104;https://github.com/cyberbotics/webots/pull/3104;Release python global interpreter lock when running c code;TRUE;NO;;;;;
193;cyberbotics/webots;2825;https://github.com/cyberbotics/webots/pull/2825;Fix incorrect device limit constraints in Hinge2Joint and BallJoint;TRUE;NO;;;;;
194;cyberbotics/webots;3056;https://github.com/cyberbotics/webots/pull/3056;Enhancement in Makefile add GDB option;TRUE;YES;NO;Build Output_Build reports contain verbose, irrelevant information;;;Dashboard/Notifications_Improve readability of the build log
195;cyberbotics/webots;2850;https://github.com/cyberbotics/webots/pull/2850;Addition of a Hinge2JointWithBacklash PROTO;TRUE;NO;;;;;
196;cyberbotics/webots;2822;https://github.com/cyberbotics/webots/pull/2822;Significantly simplify the usage of the ros controller;TRUE;NO;;;;;
197;cyberbotics/webots;2525;https://github.com/cyberbotics/webots/pull/2525;Fixed compilation of OpenCV sample controller on Windows;TRUE;NO;;;;;
198;cyberbotics/webots;2527;https://github.com/cyberbotics/webots/pull/2527;Create Windows nightly builds from GitHub Action;TRUE;NO;;;;;
199;cyberbotics/webots;2430;https://github.com/cyberbotics/webots/pull/2430;Fix CI tests_sources yml workflow;TRUE;YES;NO;Build Execution_Build steps are not properly ordered (e.g., static analysis could precede testing to avoid failing it very late);;;Build Process Organization_Reorganize build steps order of execution
199;cyberbotics/webots;2430;https://github.com/cyberbotics/webots/pull/2430;Fix CI tests_sources yml workflow;TRUE;YES;NO;Build Execution_Only the last commit is built, aborting obsolete and queued builds;;;Build Process Organization_Update checks in the build process
200;cyberbotics/webots;2439;https://github.com/cyberbotics/webots/pull/2439;Improve stability and performance of the IK example;TRUE;NO;;;;;
201;cyberbotics/webots;2378;https://github.com/cyberbotics/webots/pull/2378;Fix Distance Sensors Reading with Cached Textures;TRUE;NO;;;;;
202;cyberbotics/webots;2350;https://github.com/cyberbotics/webots/pull/2350;Replace ros test;TRUE;YES;NO;Build Outcome_A build is succeeded when a task is failed or an error is thrown;;;Build Policy_Change how the build outcome is determined
203;cyberbotics/webots;2271;https://github.com/cyberbotics/webots/pull/2271;Enhancement Docker installation instructions;TRUE;NO;;;;;
204;cyberbotics/webots;2191;https://github.com/cyberbotics/webots/pull/2191;Avoid duplicating ros files;TRUE;NO;;;;;
205;cyberbotics/webots;2052;https://github.com/cyberbotics/webots/pull/2052;Remove Workflow Useless Step;TRUE;NO;;;;;
206;cyberbotics/webots;1929;https://github.com/cyberbotics/webots/pull/1929;Fix travis dependencies;TRUE;NO;;;;;
207;cyberbotics/webots;1641;https://github.com/cyberbotics/webots/pull/1641;Fix ROS Camera Recognition;TRUE;NO;;;;;
208;cyberbotics/webots;1594;https://github.com/cyberbotics/webots/pull/1594;Display more warnings when compiling launcher c;TRUE;NO;;;;;
209;cyberbotics/webots;253;https://github.com/cyberbotics/webots/pull/253;Start controllers from outside of Webots;TRUE;NO;;;;;
210;cyberbotics/webots;322;https://github.com/cyberbotics/webots/pull/322;Universal Robots ROS Controller;TRUE;NO;;;;;
211;cyberbotics/webots;536;https://github.com/cyberbotics/webots/pull/536;Speed up cppcheck CI tests;TRUE;YES;NO;Builld Initialization_Inappropriate build environment clean-up strategy (i.e., whether to (not) use incremental builds);;;Performance_Cleanup build matrix
212;cyberbotics/webots;566;https://github.com/cyberbotics/webots/pull/566;Appveyor Compilation;FALSE;NO;;;;;
213;cyberbotics/webots;1844;https://github.com/cyberbotics/webots/pull/1844;Improve github Action Source Test;FALSE;YES;NO;Build Execution_Tasks are not properly distributed among different build stages (e.g., load testing is done in the commit stage);;;Build Process Organization_Update checks in the build process
214;cyberbotics/webots;2917;https://github.com/cyberbotics/webots/pull/2917;Feature robocup controllers tests;FALSE;NO;;;;;
215;cyberbotics/webots;3487;https://github.com/cyberbotics/webots/pull/3487;Cleanup Lidar isRotating;FALSE;NO;;;;;
216;PX4/PX4-Autopilot;18447;https://github.com/PX4/PX4-Autopilot/pull/18447;GitHub Actions remove duplicate builds and increase ccache max size slightly to improve hit rate;TRUE;YES;NO;Infrastructure Choices_Software_A task is implemented using an unsuitable tool/plugin;;;Performance_Change Caching configuration
216;PX4/PX4-Autopilot;18447;https://github.com/PX4/PX4-Autopilot/pull/18447;GitHub Actions remove duplicate builds and increase ccache max size slightly to improve hit rate;TRUE;YES;NO;Build Maintainability_Build configurations are cloned in different environments;;;Performance_Remove Unneeded environments/scripts/tasks
217;PX4/PX4-Autopilot;17100;https://github.com/PX4/PX4-Autopilot/pull/17100;PX4 board configuration using Kconfig;TRUE;NO;;;;;
218;PX4/PX4-Autopilot;18372;https://github.com/PX4/PX4-Autopilot/pull/18372;github actions remove ccache from deploy metadata and low priority builds;TRUE;YES;NO;Infrastructure Choices_Software_A task is implemented using an unsuitable tool/plugin;;;Performance_Change Caching configuration
219;PX4/PX4-Autopilot;18329;https://github.com/PX4/PX4-Autopilot/pull/18329;Jenkins reduce build agent cpu share;TRUE;YES;YES;;Barriers_Resources_Limited Sw/Hw Resources;;
220;PX4/PX4-Autopilot;18322;https://github.com/PX4/PX4-Autopilot/pull/18322;fix the problem related to the sitl multiple vehicle environment;TRUE;NO;;;;;
221;PX4/PX4-Autopilot;18189;https://github.com/PX4/PX4-Autopilot/pull/18189;Matrix inversion speedup;TRUE;YES;YES;;Simulators_Real-Time Properties;;
222;PX4/PX4-Autopilot;17889;https://github.com/PX4/PX4-Autopilot/pull/17889;Add ignition gazebo support for PX4 Software In The Loop simulations;TRUE;NO;;;;;
223;PX4/PX4-Autopilot;17717;https://github.com/PX4/PX4-Autopilot/pull/17717;Broadcom AFBR S50LV85D Distance Sensor Driver;TRUE;YES;NO;;Simulators_Choose among different simulators;;
224;PX4/PX4-Autopilot;17504;https://github.com/PX4/PX4-Autopilot/pull/17504;github actions delete MAVROS avoidance tests;TRUE;YES;NO;Build Execution_Pipeline steps/stages are skipped arbitrarily;;;
225;PX4/PX4-Autopilot;17477;https://github.com/PX4/PX4-Autopilot/pull/17477;CMake Bloaty add static ram usage breakout;TRUE;YES;YES;;Barriers_Resources_Limited Sw/Hw Resources;;
226;PX4/PX4-Autopilot;17191;https://github.com/PX4/PX4-Autopilot/pull/17191;use github CI to deploy metadata to S3;TRUE;NO;;;;;
227;PX4/PX4-Autopilot;17211;https://github.com/PX4/PX4-Autopilot/pull/17211;systemcmds tests split out individual module test commands;TRUE;YES;YES;;Barriers_Resources_Limited Sw/Hw Resources;;
228;PX4/PX4-Autopilot;17131;https://github.com/PX4/PX4-Autopilot/pull/17131;boards px4_fmu v6u_default address flash shortage;TRUE;NO;;;;;
229;PX4/PX4-Autopilot;17083;https://github.com/PX4/PX4-Autopilot/pull/17083;SITL add iris with fog simulating lidar;TRUE;YES;YES;;Simulators_Limited Functionality;Resources_Evolve simulator;
230;PX4/PX4-Autopilot;16990;https://github.com/PX4/PX4-Autopilot/pull/16990;Add support for specifying spawn location in Gazebo multi sim;TRUE;YES;YES;;Simulators_Limited Functionality;Resources_Evolve simulator;
231;PX4/PX4-Autopilot;16142;https://github.com/PX4/PX4-Autopilot/pull/16142;Gazebo simulation tools;TRUE;NO;;;;;
232;PX4/PX4-Autopilot;16727;https://github.com/PX4/PX4-Autopilot/pull/16727;boards enable UAVCAN sensors by default on F7 H7;TRUE;NO;;;;;
233;PX4/PX4-Autopilot;16600;https://github.com/PX4/PX4-Autopilot/pull/16600;Add logging of mag calibration data;TRUE;NO;;;;;
234;PX4/PX4-Autopilot;16416;https://github.com/PX4/PX4-Autopilot/pull/16416;Fix tiltrotor model for SITL Gazebo;TRUE;NO;;;;;
235;PX4/PX4-Autopilot;16396;https://github.com/PX4/PX4-Autopilot/pull/16396;sitl_gazebo build single threaded;TRUE;YES;YES;;HIL_Parallelization and Resources Blockage;;
236;PX4/PX4-Autopilot;16210;https://github.com/PX4/PX4-Autopilot/pull/16210;Add typhoon h480 support to gazebo multiple sim;TRUE;YES;YES;;Simulators_Limited Functionality;Resources_Evolve simulator;
237;PX4/PX4-Autopilot;16191;https://github.com/PX4/PX4-Autopilot/pull/16191;HIL relax command retry for now;TRUE;YES;NO;Build Duration_Unneeded tasks are scheduled in the build process;;;Build Process Organization_Update checks in the build process
238;PX4/PX4-Autopilot;16117;https://github.com/PX4/PX4-Autopilot/pull/16117;Add HY SRF05 ultrasonic sensor driver;TRUE;NO;;;;;
239;PX4/PX4-Autopilot;15904;https://github.com/PX4/PX4-Autopilot/pull/15904;Support multivehicle SITL simulations for rover in gazebo;TRUE;NO;;;;;
240;PX4/PX4-Autopilot;15985;https://github.com/PX4/PX4-Autopilot/pull/15985;Disable secondary power source by default fix battery param migration take 2;TRUE;NO;;;;;
241;PX4/PX4-Autopilot;15959;https://github.com/PX4/PX4-Autopilot/pull/15959;Cleanup jsbsim run scripts;TRUE;NO;;;;;
242;PX4/PX4-Autopilot;15819;https://github.com/PX4/PX4-Autopilot/pull/15819;Jenkins remove remaining SITL tests;TRUE;YES;NO;Quality Assurance_Testing_Test suite contains flaky tests (test cases having a non-deterministic behaviour);;;
242;PX4/PX4-Autopilot;15819;https://github.com/PX4/PX4-Autopilot/pull/15819;Jenkins remove remaining SITL tests;TRUE;YES;NO;Culture_Issue notifications are ignored;;;
243;PX4/PX4-Autopilot;15681;https://github.com/PX4/PX4-Autopilot/pull/15681;sensors sensor_preflight_imu sensors_status_imu;TRUE;NO;;;;;
244;PX4/PX4-Autopilot;15330;https://github.com/PX4/PX4-Autopilot/pull/15330;cpuload updates and NuttX optimization;TRUE;NO;;;;;
245;PX4/PX4-Autopilot;15463;https://github.com/PX4/PX4-Autopilot/pull/15463;add gazebo simulation based on RTPS for multiple UAVs;TRUE;NO;;;;;
246;PX4/PX4-Autopilot;15399;https://github.com/PX4/PX4-Autopilot/pull/15399;Tools abort SITL start if gzserver fails;TRUE;YES;YES;;Flaky Behaviour_Lack of control over resources;;
247;PX4/PX4-Autopilot;15309;https://github.com/PX4/PX4-Autopilot/pull/15309;sensors baro aggregator limit publication rate with new parameter SENS_BARO_RATE;TRUE;YES;YES;;Simulators_Functional Correctness;Resources_Change simulator settings;
248;PX4/PX4-Autopilot;15117;https://github.com/PX4/PX4-Autopilot/pull/15117;simulator create standalone battery simulator module;TRUE;YES;YES;;Simulators_Limited Functionality;Resources_Evolve simulator;
249;PX4/PX4-Autopilot;15206;https://github.com/PX4/PX4-Autopilot/pull/15206;Fix gzserver hanging from multiple executions of gazebo SITL;TRUE;YES;YES;;Simulators_Installation and Setting;Resources_Change simulator settings;
250;PX4/PX4-Autopilot;13981;https://github.com/PX4/PX4-Autopilot/pull/13981;Hover thrust estimator;TRUE;YES;YES;;Simulators_Limited Functionality;Resources_Evolve simulator;
251;PX4/PX4-Autopilot;15038;https://github.com/PX4/PX4-Autopilot/pull/15038;Jenkins HIL test fix sensor timeouts;TRUE;NO;;;;;
252;PX4/PX4-Autopilot;14932;https://github.com/PX4/PX4-Autopilot/pull/14932;MAVLink latency optimizations;TRUE;NO;;;;;
253;PX4/PX4-Autopilot;14539;https://github.com/PX4/PX4-Autopilot/pull/14539;FlightGear simulator support;TRUE;YES;YES;;Simulators_Limited Functionality;;
253;PX4/PX4-Autopilot;14539;https://github.com/PX4/PX4-Autopilot/pull/14539;FlightGear simulator support;TRUE;YES;YES;;Simulators_Choose among different simulators;;
254;PX4/PX4-Autopilot;14129;https://github.com/PX4/PX4-Autopilot/pull/14129;px4_io-v2 defconfig optimizations;TRUE;YES;YES;;Simulators_Installation and Setting;Resources_Change simulator settings;
255;PX4/PX4-Autopilot;14519;https://github.com/PX4/PX4-Autopilot/pull/14519;arch sh use community binary repository for gazebo;TRUE;YES;YES;;Simulators_Installation and Setting;Resources_Change simulator settings;
256;PX4/PX4-Autopilot;14382;https://github.com/PX4/PX4-Autopilot/pull/14382;sensors move to uORB Subscription and reduce CONFIG_NFILE_DESCRIPTORS 20 15;TRUE;NO;;;;;
257;PX4/PX4-Autopilot;14515;https://github.com/PX4/PX4-Autopilot/pull/14515;Github Actions Add jobs running in Ubuntu 20 04 Focal;TRUE;NO;;;;;
258;PX4/PX4-Autopilot;14438;https://github.com/PX4/PX4-Autopilot/pull/14438;Drivers SPI I2C config simplifications 3;TRUE;NO;;;;;
259;PX4/PX4-Autopilot;14392;https://github.com/PX4/PX4-Autopilot/pull/14392;Gazebo Do not run verbose;TRUE;YES;NO;Build Output_Build reports contain verbose, irrelevant information;;;Dashboard/Notifications_Improve readability of the build log
260;PX4/PX4-Autopilot;14353;https://github.com/PX4/PX4-Autopilot/pull/14353;Add ccache to github actions;TRUE;YES;NO;Build Dependencies Management_Inappropriate choice about what to cache;;;Performance_Change Caching configuration
261;PX4/PX4-Autopilot;14346;https://github.com/PX4/PX4-Autopilot/pull/14346;boards increase LPWORKSTACKSIZE 1536 1600;TRUE;NO;;;;;
262;PX4/PX4-Autopilot;14228;https://github.com/PX4/PX4-Autopilot/pull/14228;simulator set sensor update rate according to HIL_SENSOR bitmask;TRUE;YES;YES;;Simulators_Interacting environment;;
263;PX4/PX4-Autopilot;14215;https://github.com/PX4/PX4-Autopilot/pull/14215;CI exit from failed hardware check with error so the check will fail;TRUE;YES;NO;Build Outcome_Do not fail a build as soon as a failure/error is encountered;;;
264;PX4/PX4-Autopilot;13871;https://github.com/PX4/PX4-Autopilot/pull/13871;Board config timer config simplifications;TRUE;NO;;;;;
265;PX4/PX4-Autopilot;14078;https://github.com/PX4/PX4-Autopilot/pull/14078;BACKPORT and maintenance ModalAI fc v1 5a1c46deebbe38de35c7ab656ed78248e91eb850;TRUE;NO;;;;;
266;PX4/PX4-Autopilot;13916;https://github.com/PX4/PX4-Autopilot/pull/13916;Add SITL target for simulating catapult handlaunching fixed wing;TRUE;NO;;;;;
267;PX4/PX4-Autopilot;14064;https://github.com/PX4/PX4-Autopilot/pull/14064;Updates to new Invensense IMU drivers;TRUE;NO;;;;;
268;PX4/PX4-Autopilot;14054;https://github.com/PX4/PX4-Autopilot/pull/14054;Flow mockup;TRUE;YES;YES;;HIL_Interface with HIL;Resources_Use mocking;
269;PX4/PX4-Autopilot;13933;https://github.com/PX4/PX4-Autopilot/pull/13933;setup Fix ubuntu sh install script;TRUE;NO;;;;;
270;PX4/PX4-Autopilot;13940;https://github.com/PX4/PX4-Autopilot/pull/13940;CI Jenkins move Cppcheck stage to ROS Melodic container;TRUE;YES;NO;Build Execution_Tasks are not properly distributed among different build stages (e.g., load testing is done in the commit stage);;;
271;PX4/PX4-Autopilot;13854;https://github.com/PX4/PX4-Autopilot/pull/13854;simulator replace gpssim with simple orb publication;TRUE;YES;YES;;Simulators_Functional Correctness;Resources_Change simulator settings;
272;PX4/PX4-Autopilot;13872;https://github.com/PX4/PX4-Autopilot/pull/13872;NuttX stackcheck exclude PX4 Matrix Param and stm32_spi driver;TRUE;YES;NO;Build Execution_Tasks are not properly distributed among different build stages (e.g., load testing is done in the commit stage);;;
273;PX4/PX4-Autopilot;13781;https://github.com/PX4/PX4-Autopilot/pull/13781;MPU9250 failed to start its AK8963 via internal SPI to I2C bridge;TRUE;YES;YES;;Simulators_Installation and Setting;Resources_Change simulator settings;
274;PX4/PX4-Autopilot;13722;https://github.com/PX4/PX4-Autopilot/pull/13722;px4_raspberrypi cleanup configs and add to Jenkins;TRUE;YES;YES;;Throroughness_Phases_Automated HIL testing impossible dues to too many different real devices;Resources_Change HiL configuration;
275;PX4/PX4-Autopilot;12511;https://github.com/PX4/PX4-Autopilot/pull/12511;Add calibration parameters for multiple batteries;TRUE;NO;;;;;
276;PX4/PX4-Autopilot;13632;https://github.com/PX4/PX4-Autopilot/pull/13632;Speed up gyro calibration;TRUE;NO;;;;;
277;PX4/PX4-Autopilot;13241;https://github.com/PX4/PX4-Autopilot/pull/13241;sensors split rc_update into new standalone module;TRUE;NO;;;;;
278;PX4/PX4-Autopilot;12650;https://github.com/PX4/PX4-Autopilot/pull/12650;create mc_rate_control split out of mc_att_control;TRUE;NO;;;;;
279;PX4/PX4-Autopilot;13493;https://github.com/PX4/PX4-Autopilot/pull/13493;NuttX cmake improve dependencies between configure and runtime;TRUE;NO;;;;;
280;PX4/PX4-Autopilot;13423;https://github.com/PX4/PX4-Autopilot/pull/13423;NuttX use toolchain math h and avoid empty drivers Kconfig;TRUE;NO;;;;;
281;PX4/PX4-Autopilot;13370;https://github.com/PX4/PX4-Autopilot/pull/13370;Jenkins hardware move to nested stages;TRUE;NO;;;;;
282;PX4/PX4-Autopilot;13285;https://github.com/PX4/PX4-Autopilot/pull/13285;boards increase CONFIG_MAX_TASKS 32 64 on all F7s;TRUE;NO;;;;;
283;PX4/PX4-Autopilot;13238;https://github.com/PX4/PX4-Autopilot/pull/13238;Jenkins CI move SITL tests to Melodic container;TRUE;YES;NO;Build Execution_Rely on a wrong image;;;
284;PX4/PX4-Autopilot;13221;https://github.com/PX4/PX4-Autopilot/pull/13221;arch sh use nproc instead of grepping proc cpuinfo;TRUE;NO;;;;;
285;PX4/PX4-Autopilot;13160;https://github.com/PX4/PX4-Autopilot/pull/13160;Arch Linux Setup optionally install gazebo from AUR and fix pip Call;TRUE;YES;YES;;Simulators_Limited Functionality;Resources_Add better simulators;
286;PX4/PX4-Autopilot;13179;https://github.com/PX4/PX4-Autopilot/pull/13179;arch sh switch permissions of pip install again;TRUE;NO;;;;;
287;PX4/PX4-Autopilot;13066;https://github.com/PX4/PX4-Autopilot/pull/13066;cmake show sitl_gazebo build output and improve rebuild;TRUE;YES;NO;Builld Initialization_Inappropriate build environment clean-up strategy (i.e., whether to (not) use incremental builds);;;
287;PX4/PX4-Autopilot;13066;https://github.com/PX4/PX4-Autopilot/pull/13066;cmake show sitl_gazebo build output and improve rebuild;TRUE;YES;NO;Build Output_Some tasks are executed without clearly reporting their results in the build output;;;Dashboard/Notifications_Improve readability of the build log
288;PX4/PX4-Autopilot;8749;https://github.com/PX4/PX4-Autopilot/pull/8749;Mission RTL;TRUE;NO;;;;;
289;PX4/PX4-Autopilot;6615;https://github.com/PX4/PX4-Autopilot/pull/6615;Add Rover Simulation and sim config;TRUE;NO;;;;;
290;PX4/PX4-Autopilot;12781;https://github.com/PX4/PX4-Autopilot/pull/12781;jMAVSim disable GUI using HEADLESS 1;TRUE;YES;YES;;Simulators_Installation and Setting;Resources_Change simulator settings;
291;PX4/PX4-Autopilot;12145;https://github.com/PX4/PX4-Autopilot/pull/12145;introduce sensor_gyro_control message 1 kHz rate controller;TRUE;NO;;;;;
292;PX4/PX4-Autopilot;12666;https://github.com/PX4/PX4-Autopilot/pull/12666;V5X add networking;TRUE;NO;;;;;
293;PX4/PX4-Autopilot;12651;https://github.com/PX4/PX4-Autopilot/pull/12651;simple circleci com px4_fmu v5 build archive example;TRUE;NO;;;;;
294;PX4/PX4-Autopilot;12481;https://github.com/PX4/PX4-Autopilot/pull/12481;jenkins archive catkin test logs on failure;TRUE;YES;NO;Build Output_Some tasks are executed without clearly reporting their results in the build output;;;Dashboard/Notifications_Improve readability of the build log
295;PX4/PX4-Autopilot;12519;https://github.com/PX4/PX4-Autopilot/pull/12519;Changed timing of actuator_controls_0 message from rover_pos_control;TRUE;YES;YES;;Simulators_Real-Time Properties;;
296;PX4/PX4-Autopilot;8242;https://github.com/PX4/PX4-Autopilot/pull/8242;SDP3x Airspeed Correction;TRUE;NO;;;;;
297;PX4/PX4-Autopilot;12415;https://github.com/PX4/PX4-Autopilot/pull/12415;Fix off by one error in multi agent launch files that prevents FCU connection;TRUE;NO;;;;;
298;PX4/PX4-Autopilot;7415;https://github.com/PX4/PX4-Autopilot/pull/7415;cmake fix airframes xml dependency mavlink include bad whitespace;TRUE;NO;;;;;
299;PX4/PX4-Autopilot;4932;https://github.com/PX4/PX4-Autopilot/pull/4932;sitl gazebo plane fix land detector startup order;TRUE;YES;YES;;Simulators_Functional Correctness;Resources_Change simulator settings;
300;PX4/PX4-Autopilot;12373;https://github.com/PX4/PX4-Autopilot/pull/12373;Jenkins HITL exit upload monitor on nsh;TRUE;YES;YES;;Flaky Behaviour_Lack of control over resources;Flakiness_Timeout;
301;PX4/PX4-Autopilot;7235;https://github.com/PX4/PX4-Autopilot/pull/7235;Support of multi uav simulation in SITL;TRUE;YES;YES;;Simulators_Limited Functionality;Resources_Evolve simulator;
302;PX4/PX4-Autopilot;12282;https://github.com/PX4/PX4-Autopilot/pull/12282;Jenkins HIL test run various commands to inspect system;TRUE;YES;YES;;Thoroughness_Phases_Lack of HiL specific smoke test;;
303;PX4/PX4-Autopilot;8149;https://github.com/PX4/PX4-Autopilot/pull/8149;Servo gimbal;TRUE;NO;;;;;
304;PX4/PX4-Autopilot;12081;https://github.com/PX4/PX4-Autopilot/pull/12081;simulator move to PX4Accelerometer PX4Gyroscope PX4Magnetometer PX4Barometer helpers;TRUE;YES;YES;;Simulators_Installation and Setting;Resources_Change simulator settings;
305;PX4/PX4-Autopilot;11981;https://github.com/PX4/PX4-Autopilot/pull/11981;sitl_gazebo updates and cleanup;TRUE;NO;;;;;
306;PX4/PX4-Autopilot;11821;https://github.com/PX4/PX4-Autopilot/pull/11821;cmake fix races without ninja;TRUE;NO;;;;;
307;PX4/PX4-Autopilot;11808;https://github.com/PX4/PX4-Autopilot/pull/11808;omnibus fix unreliable SD card access;TRUE;NO;;;;;
308;PX4/PX4-Autopilot;11802;https://github.com/PX4/PX4-Autopilot/pull/11802;Appveyor Enable build matrix for parallel CI targets;TRUE;YES;NO;Build Execution_Independent build jobs are not executed in parallel;;;Performance_Introduce Parallelization
309;PX4/PX4-Autopilot;7618;https://github.com/PX4/PX4-Autopilot/pull/7618;FMUv2 Hardware identification some mpu9250 fixes mpu9250 deprecated on PXMini;TRUE;NO;;;;;
310;PX4/PX4-Autopilot;11574;https://github.com/PX4/PX4-Autopilot/pull/11574;containers add Queue and testing;TRUE;NO;;;;;
311;PX4/PX4-Autopilot;11536;https://github.com/PX4/PX4-Autopilot/pull/11536;Jenkins increase history retention;TRUE;NO;;;;;
312;PX4/PX4-Autopilot;11534;https://github.com/PX4/PX4-Autopilot/pull/11534;Tools fix style consistency in shell scripts if then;TRUE;NO;;;;;
313;PX4/PX4-Autopilot;11463;https://github.com/PX4/PX4-Autopilot/pull/11463;Jenkins CI PX4 ROS msgs stage deploy message definitions to the ros1 branch of px4_msgs;TRUE;NO;;;;;
314;PX4/PX4-Autopilot;11398;https://github.com/PX4/PX4-Autopilot/pull/11398;Jenkins SITL tests increase test history from 2 5;TRUE;YES;NO;Infrastructure Choices_Software_Wrong Choice of the CI/CD framework being used;;;
315;PX4/PX4-Autopilot;11243;https://github.com/PX4/PX4-Autopilot/pull/11243;Probot attempt to fix configuration;TRUE;NO;;;;;
316;PX4/PX4-Autopilot;11177;https://github.com/PX4/PX4-Autopilot/pull/11177;SITL perf improvements;TRUE;NO;;;;;
317;PX4/PX4-Autopilot;11101;https://github.com/PX4/PX4-Autopilot/pull/11101;simulator fix TCP on Cygwin Windows and updated two world files for Gazebo;TRUE;NO;;;;;
318;PX4/PX4-Autopilot;10945;https://github.com/PX4/PX4-Autopilot/pull/10945;CI add Colcon parallel build;TRUE;NO;;;;;
